Text,Rating,Place name,clean_text
"Should have read the reviews before wasting time driving out there. Place is just a money grab! There was no signage or any real warning that all the swimming spots and most walking tracks were closed. Even when you book accommodation they don’t bother telling you. It’s a long way to go to end up using a man made swimming pool  Litchfield is  nicer, more user friendly, better sights and swimming and you don’t have to drive half the day to see that something is closed. Kakadu has been hyped up and I don’t even know who started that urban legend but I’m going to hold your hand when I say this “ there are nicer places to visit”!!",1.0,Kakadu National Park,should have read the reviews before wasting time driving out there place is just a money grab there was no signage or any real warning that all the swimming spots and most walking tracks were closed even when you book accommodation they dont bother telling you its a long way to go to end up using a man made swimming pool litchfield is nicer more user friendly better sights and swimming and you dont have to drive half the day to see that something is closed kakadu has been hyped up and i dont even know who started that urban legend but im going to hold your hand when i say this there are nicer places to visit
"Do not purchase a park pass before going to a visitor center! We did by a week ticket for two adults before entering, cause everywhere where signs that you should, only to figure out shortly after in one of the visitor centers that all waterfalls and gorges are closed, even though it is late june in the middle of the dry season! Also we've got told at the visitor center that it is  fine if you enter the park without a park pass, as long as you by one once you've got all the information to plan your stay and than by one directly in the visitor center!
We wouldn't have bought a week pass if we would have known that that much is closed! An information sign in front of the park entrance or an up to date website with park information would help!
If you aren't able to maintain the roads just keep the park closed. But it is definetly not right to charge the full price if there is that less to do!",1.0,Kakadu National Park,do not purchase a park pass before going to a visitor center we did by a week ticket for two adults before entering cause everywhere where signs that you should only to figure out shortly after in one of the visitor centers that all waterfalls and gorges are closed even though it is late june in the middle of the dry season also weve got told at the visitor center that it is fine if you enter the park without a park pass as long as you by one once youve got all the information to plan your stay and than by one directly in the visitor center we wouldnt have bought a week pass if we would have known that that much is closed an information sign in front of the park entrance or an up to date website with park information would help if you arent able to maintain the roads just keep the park closed but it is definetly not right to charge the full price if there is that less to do
Very disappointing.. over hyped.. most attractions closed.. goto Litchfield instead,1.0,Kakadu National Park,very disappointing over hyped most attractions closed goto litchfield instead
"Lots of kaka, but nothing to du.",1.0,Kakadu National Park,lots of kaka but nothing to du
"Only Jim Jim Falls open way to far and dangerous to walk to the pool All other falls with pools shut Last there 4 years ago signs at Nourlangie and Ubirr unreadale middle of dry and Tourist season no guides on weekend obviously too lazy to work
Back to the Kakadon't days Serious waste of Taxpayers $",1.0,Kakadu National Park,only jim jim falls open way to far and dangerous to walk to the pool all other falls with pools shut last there years ago signs at nourlangie and ubirr unreadale middle of dry and tourist season no guides on weekend obviously too lazy to work back to the kakadont days serious waste of taxpayers
"Disappointed with my experience considering Kakadu National Park has been on my to do list for a very long time. While I understand the value of this space for the indigenous community, there is still much that needs to be developed and adjusted if it intends to be a tourist destination setup to showcase the culture and customs of an amazing lineage. On many occasions, the programs we booked did not run or the communication regarding delays were not communicated effectively.",1.0,Kakadu National Park,disappointed with my experience considering kakadu national park has been on my to do list for a very long time while i understand the value of this space for the indigenous community there is still much that needs to be developed and adjusted if it intends to be a tourist destination setup to showcase the culture and customs of an amazing lineage on many occasions the programs we booked did not run or the communication regarding delays were not communicated effectively
"Disappointing vs. expectations and with unprofessional staff at the Garnamarr campsite who ruined our opportunity to visite the falls.
We went in the dry season on the 28th of June 2024 and all the falls were closed. On the website it was announced that the Jim Jim Falls would open that day at 4pm alongside the campground Garnamarr unpaved road and for this reason we still decided to go. As per the website the road signs stopped having the closed stickers at 4pm and so we went to Jim Jim Falls, the first 50km of the road until the campground were open, but we were met with a rude female campsite manager when we got to the entry of the road between the campsite and Jim Jim Falls (last 5km) who said it was because ""it was the rule to open the next day"", when in reality the official rules both at the website and at the road signs were that it should be open! Because this was our last day in Darwin, we lost the opportunity because most likely the campsite manager didn't feel like opening a new road at 4pm, while clearly the rangers and other Kakadu staff declared it to be open.",1.0,Kakadu National Park,disappointing vs expectations and with unprofessional staff at the garnamarr campsite who ruined our opportunity to visite the falls we went in the dry season on the th of june and all the falls were closed on the website it was announced that the jim jim falls would open that day at pm alongside the campground garnamarr unpaved road and for this reason we still decided to go as per the website the road signs stopped having the closed stickers at pm and so we went to jim jim falls the first km of the road until the campground were open but we were met with a rude female campsite manager when we got to the entry of the road between the campsite and jim jim falls last km who said it was because it was the rule to open the next day when in reality the official rules both at the website and at the road signs were that it should be open because this was our last day in darwin we lost the opportunity because most likely the campsite manager didnt feel like opening a new road at pm while clearly the rangers and other kakadu staff declared it to be open
"Kakadont.
Expect you pay for an expensive park pass and all the goods spots are closed. Over-rated and commercialised .",1.0,Kakadu National Park,kakadont expect you pay for an expensive park pass and all the goods spots are closed overrated and commercialised
"We will never visit here again, info centre was filthy and a waste of time, we had vehicle issues and had to keep driving, info centre was no help, just go online apply for a refund, we did, a month later no answer, the whole place was on fire as well, can't believe you have to pay for a pass and then keep paying pure greed",1.0,Kakadu National Park,we will never visit here again info centre was filthy and a waste of time we had vehicle issues and had to keep driving info centre was no help just go online apply for a refund we did a month later no answer the whole place was on fire as well cant believe you have to pay for a pass and then keep paying pure greed
Unfortunately most things were closed. Next time. Hopefully,1.0,Kakadu National Park,unfortunately most things were closed next time hopefully
it a rock but its not the rock,1.0,Uluṟu-Kata Tjuṯa National Park,it a rock but its not the rock
"You have to pay $80 bucks to enter when my taxes already pay for the upkeep, just to not be able to climb it, don’t even get me started on the fact that the hotels charge you extra, the rock it’s self yeah kinda good.",1.0,Uluṟu-Kata Tjuṯa National Park,you have to pay bucks to enter when my taxes already pay for the upkeep just to not be able to climb it dont even get me started on the fact that the hotels charge you extra the rock its self yeah kinda good
"It was 8am on a weekday no one around. Thought I was doing the right thing.
I have 2 labradors and the sign says dogs must be on leads. I had them restrained them on a post out of the way of pedestrians. Me sitting on a park bench close by.  Were told that I could not leave my dogs there??
Reason, dogs must be restained by hand??
Never heard of this before, is this the norm here?",1.0,Darwin Waterfront Precinct,it was am on a weekday no one around thought i was doing the right thing i have labradors and the sign says dogs must be on leads i had them restrained them on a post out of the way of pedestrians me sitting on a park bench close by were told that i could not leave my dogs there reason dogs must be restained by hand never heard of this before is this the norm here
"We got a $40 parking ticket for not displaying a valid ticket.

The sign only says ""download the app"", which is not helpful in the slightest.

It doesn't say when you need to pay and when you don't, so how is anyone supposed to know?

We downloaded the app and it's a long drawn out sign up process. How is that good for tourists?

They really need to make things less difficult as this is a train wreck for any visitor.",1.0,Darwin Waterfront Precinct,we got a parking ticket for not displaying a valid ticket the sign only says download the app which is not helpful in the slightest it doesnt say when you need to pay and when you dont so how is anyone supposed to know we downloaded the app and its a long drawn out sign up process how is that good for tourists they really need to make things less difficult as this is a train wreck for any visitor
Don't feel safe. People lurking around cars and lots of reports of stolen cars.,1.0,Darwin Waterfront Precinct,dont feel safe people lurking around cars and lots of reports of stolen cars
"Hated the greasy food that was served up, just thought it might have been a bad night, went again and it was worse, we actually had to clean up the table but in the end had to ask for someone to clean it down. The food was worse than the first time, me and 3 other people will not go and waste money there again and will never tell people to try it for themselves.",1.0,Darwin Waterfront Precinct,hated the greasy food that was served up just thought it might have been a bad night went again and it was worse we actually had to clean up the table but in the end had to ask for someone to clean it down the food was worse than the first time me and other people will not go and waste money there again and will never tell people to try it for themselves
"The fish and chips are not up to the usual standard. The price that was charged for dismal pieces of chips and fish. I will stick to the local fish and chip shop.
The salad was pretty sad as well. I wish I had taken a photo.",1.0,Darwin Waterfront Precinct,the fish and chips are not up to the usual standard the price that was charged for dismal pieces of chips and fish i will stick to the local fish and chip shop the salad was pretty sad as well i wish i had taken a photo
"Precinct
Very disappointed.
Food was average
Steak was under cooked.
Chips cold and looked like cooked in old oil.
Chicken wings to dry.",1.0,Darwin Waterfront Precinct,precinct very disappointed food was average steak was under cooked chips cold and looked like cooked in old oil chicken wings to dry
"Be careful of the overzealous parking inspectors who are on the war path. Constantly issuing parking fines for the most marginal of infringements, all in an attempt to raise extra revenue.",1.0,Darwin Waterfront Precinct,be careful of the overzealous parking inspectors who are on the war path constantly issuing parking fines for the most marginal of infringements all in an attempt to raise extra revenue
"**** Nueron Scooter.. WARNING ****
My hubby and I thought what a great idea, lets do it. We both opted for the $25 =3 day hire.
My hubby activated, mine would mot. Checked yes, money deducted from my account, but not able to activate to ise scooters, eveeytime we tried it asked dor another payment. Tried to contact company ZERO help. So bye bye $25 for both of us as no point my hubby going off on his own.
I have given the company 3 days to respond and have sent numerous help messages.
Very disappointing 
**** BUYER BEWARE ****",1.0,Darwin Waterfront Precinct,nueron scooter warning my hubby and i thought what a great idea lets do it we both opted for the day hire my hubby activated mine would mot checked yes money deducted from my account but not able to activate to ise scooters eveeytime we tried it asked dor another payment tried to contact company zero help so bye bye for both of us as no point my hubby going off on his own i have given the company days to respond and have sent numerous help messages very disappointing buyer beware
Gives you a $40 parking ticket for parking in a place that offers free parking. Make sure you get that paper that says that you acknowledge the parking is free! Dumbest rule ever.,1.0,Darwin Waterfront Precinct,gives you a parking ticket for parking in a place that offers free parking make sure you get that paper that says that you acknowledge the parking is free dumbest rule ever
"Paid top dollar for three nights.

“Powered grass sites”

Spin arrival the site numbers do not even come close to the map. (Someone needs to learn to draw a map)

Power and water supply some 40m away from caravan site.  Not sure who carry’s 40m of hose.

Upon asking staff what the go is in regards to the power and water was told by a backpacker to bad so sad.

So we now have no water. During the three night stay we have power for all of 4 hours as it kept tripping there main circuit breaker. After various phone calls and various attempts with some “maintenance” person walking around with a torch doing absolutely nothing. There was still no electricity. So now. No water no power. And a rediculous price tag for each night.

Figured we would go check out the shop, to find they charging $15 for a bag of potato chips…. Absolutely rediculous. Highway robbery.

Do not recommend to anyone. Would rather camp on the side of the road.",1.0,Cooinda Lodge Kakadu,paid top dollar for three nights powered grass sites spin arrival the site numbers do not even come close to the map someone needs to learn to draw a map power and water supply some m away from caravan site not sure who carrys m of hose upon asking staff what the go is in regards to the power and water was told by a backpacker to bad so sad so we now have no water during the three night stay we have power for all of hours as it kept tripping there main circuit breaker after various phone calls and various attempts with some maintenance person walking around with a torch doing absolutely nothing there was still no electricity so now no water no power and a rediculous price tag for each night figured we would go check out the shop to find they charging for a bag of potato chips absolutely rediculous highway robbery do not recommend to anyone would rather camp on the side of the road
"Literally taking advantage of the campers because there are not a lot of options around. showers and toilets so dirty doesn't matter when you walk in charge way too much money for what they offer, been staying in places that charge less and we're way more cleaner and better",1.0,Cooinda Lodge Kakadu,literally taking advantage of the campers because there are not a lot of options around showers and toilets so dirty doesnt matter when you walk in charge way too much money for what they offer been staying in places that charge less and were way more cleaner and better
"Cooinda is extremely expensive and terribly managed.

Cost cutting is evident throughout with dirty, poky rooms, malfunctioning appliances, poor food quality and short-staffing.

Bring your own food and camp at one of Kakadu’s many great sites, avoid Cooinda at all costs.

If seeking a family holiday, go to one of the holiday parks closer to Darwin, they’re all superior and much much cheaper.",1.0,Cooinda Lodge Kakadu,cooinda is extremely expensive and terribly managed cost cutting is evident throughout with dirty poky rooms malfunctioning appliances poor food quality and shortstaffing bring your own food and camp at one of kakadus many great sites avoid cooinda at all costs if seeking a family holiday go to one of the holiday parks closer to darwin theyre all superior and much much cheaper
"Accessibility for those with mobility issues was terrible and probably needs to be reported to the appropriate authority. One wheelchair accessible bathroom and one accessible carpark for the whole resort. Shameful and ableist.
Missing out on a lot of people wanting to visit this amazing place",1.0,Cooinda Lodge Kakadu,accessibility for those with mobility issues was terrible and probably needs to be reported to the appropriate authority one wheelchair accessible bathroom and one accessible carpark for the whole resort shameful and ableist missing out on a lot of people wanting to visit this amazing place
Everything was good until they started blasting non stop advertising in the main eating area where the restaurant and bar is outside. There’s a huge TV and giant sound system literally blasting non stop commercials for hours from around 6pm and it is still going at 9:30 pm. You can hear it through out the entire campground. Sounds like we are at a sports game or concert or something. So annoying! So much for being in nature! Morning update: Starting at 8am music is blasting and sounds of construction.,1.0,Cooinda Lodge Kakadu,everything was good until they started blasting non stop advertising in the main eating area where the restaurant and bar is outside theres a huge tv and giant sound system literally blasting non stop commercials for hours from around pm and it is still going at pm you can hear it through out the entire campground sounds like we are at a sports game or concert or something so annoying so much for being in nature morning update starting at am music is blasting and sounds of construction
Daylight robbery for any food bought here. You'd get better value in a fine dining restaurant.,1.0,Cooinda Lodge Kakadu,daylight robbery for any food bought here youd get better value in a fine dining restaurant
"The rooms are a little dated, in particular the bathroom. Outside the room area very dated and no nice area to sit. However, the restaurant meal was the worst I have had. When we ordered, the waitress was tapping her pen when my wife was deciding on her meal. She seemed more interested in getting back behind the counter. When the meal was delivered, entree and my wife’s meal was delivered. After 25 minutes and my 3rd drink, I then had to go ask where my meal was, the reply, “ did you want the meals together” which I said yes to, the waitress then said she would see where it was. 15minutes later, my wife’s meal has well and truly finished her meal. At this stage I had to go back up, tell them I wanted my meal, to again the waitress replied I’ll see where it is. Some time after that my meal finally arrived, they had already cleared the table of entree and my wife’s main. Some time later a waiter then apologized for the meal. I’m in my mid 60s, I’ve never had cause to complain about service in my life. Absolutely the worst service I have ever had.",1.0,Mercure Kakadu Crocodile Hotel,the rooms are a little dated in particular the bathroom outside the room area very dated and no nice area to sit however the restaurant meal was the worst i have had when we ordered the waitress was tapping her pen when my wife was deciding on her meal she seemed more interested in getting back behind the counter when the meal was delivered entree and my wifes meal was delivered after minutes and my rd drink i then had to go ask where my meal was the reply did you want the meals together which i said yes to the waitress then said she would see where it was minutes later my wifes meal has well and truly finished her meal at this stage i had to go back up tell them i wanted my meal to again the waitress replied ill see where it is some time after that my meal finally arrived they had already cleared the table of entree and my wifes main some time later a waiter then apologized for the meal im in my mid s ive never had cause to complain about service in my life absolutely the worst service i have ever had
"I was so excited to bring my parents here who were visiting from New Zealand. Unfortunately, the price is far too high for what's on offer. The whole place feels crusty and in need of a refresh. It's like stepping into a time capsule from the early 90s but without the charm. Our room's fan didn't work, and even though we booked for three people, there were only two coffee mugs provided. Two of the restaurant staff came across as rude and unwelcoming. Even though we booked, the guy at the restaurant desk on arrival seemed so bothered by our presence. We had to eat from the buffet because the guy said the kitchen closes in 3 minutes, so we didn't really have an option. The food was average at best. The waitress accidentally smashed a wine glass on our table, which damaged my mum's bag. While they did apologise, their attitude felt dismissive. We stayed polite, as anyone should when accidents happen, but a gesture like a complimentary drink would have gone a long way. Overall it doesn't reflect well on the Accor brand. Unfortunately, we wouldn't stay again.",1.0,Mercure Kakadu Crocodile Hotel,i was so excited to bring my parents here who were visiting from new zealand unfortunately the price is far too high for whats on offer the whole place feels crusty and in need of a refresh its like stepping into a time capsule from the early s but without the charm our rooms fan didnt work and even though we booked for three people there were only two coffee mugs provided two of the restaurant staff came across as rude and unwelcoming even though we booked the guy at the restaurant desk on arrival seemed so bothered by our presence we had to eat from the buffet because the guy said the kitchen closes in minutes so we didnt really have an option the food was average at best the waitress accidentally smashed a wine glass on our table which damaged my mums bag while they did apologise their attitude felt dismissive we stayed polite as anyone should when accidents happen but a gesture like a complimentary drink would have gone a long way overall it doesnt reflect well on the accor brand unfortunately we wouldnt stay again
"STAY SOMEWHERE ELSE!

I am writing to express my concerns regarding our current stay at your hotel in Room 112.

Upon entering the room, we noticed black mold on the ceiling, which raised immediate health and safety concerns. While we understand that issues like these can sometimes arise, we would have expected them to be addressed promptly for the safety and comfort of guests. We did not feel comfortable staying in a room with visible mold, and this significantly impacted our experience.

Additionally, during our stay, we encountered an issue with the Wi-Fi, which was not functional. When we raised this concern with the front desk, the response we received was dismissive, with the staff member implying that this was expected because we were in a remote area. Furthermore, another guest also dismissed our concerns, making us feel that our complaints were not taken seriously.

As a result, we felt that our experience was far below the standard that we expected from your establishment, particularly in terms of guest service and room conditions. While we understand that the location may have limitations, we believe it’s important to maintain a certain level of service and cleanliness for all guests, regardless of the setting.

We are only staying for one night, but I wanted to bring these issues to your attention so that future guests do not encounter the same problems. I hope that you can take these concerns seriously and work toward improving the room conditions and customer service in the future.",1.0,Mercure Kakadu Crocodile Hotel,stay somewhere else i am writing to express my concerns regarding our current stay at your hotel in room upon entering the room we noticed black mold on the ceiling which raised immediate health and safety concerns while we understand that issues like these can sometimes arise we would have expected them to be addressed promptly for the safety and comfort of guests we did not feel comfortable staying in a room with visible mold and this significantly impacted our experience additionally during our stay we encountered an issue with the wifi which was not functional when we raised this concern with the front desk the response we received was dismissive with the staff member implying that this was expected because we were in a remote area furthermore another guest also dismissed our concerns making us feel that our complaints were not taken seriously as a result we felt that our experience was far below the standard that we expected from your establishment particularly in terms of guest service and room conditions while we understand that the location may have limitations we believe its important to maintain a certain level of service and cleanliness for all guests regardless of the setting we are only staying for one night but i wanted to bring these issues to your attention so that future guests do not encounter the same problems i hope that you can take these concerns seriously and work toward improving the room conditions and customer service in the future
