review_id,Place name,Rating,original_review,sentence,lemma_sentence
0,Kakadu National Park,1.0,"Should have read the reviews before wasting time driving out there. Place is just a money grab! There was no signage or any real warning that all the swimming spots and most walking tracks were closed. Even when you book accommodation they don’t bother telling you. It’s a long way to go to end up using a man made swimming pool  Litchfield is  nicer, more user friendly, better sights and swimming and you don’t have to drive half the day to see that something is closed. Kakadu has been hyped up and I don’t even know who started that urban legend but I’m going to hold your hand when I say this “ there are nicer places to visit”!!",should have read the reviews before wasting time driving out there place is just a money grab there was no signage or any real warning that all the swimming spots and most walking tracks were closed even when you book accommodation they dont bother telling you its a long way to go to end up using a man made swimming pool litchfield is nicer more user friendly better sights and swimming and you dont have to drive half the day to see that something is closed kakadu has been hyped up and i dont even know who started that urban legend but im going to hold your hand when i say this there are nicer places to visit,should have read the review before waste time drive out there place be just a money grab there be no signage or any real warning that all the swim spot and most walking track be close even when you book accommodation they dont bother tell you it a long way to go to end up use a man make swim pool litchfield be nicer more user friendly well sight and swimming and you dont have to drive half the day to see that something be close kakadu have be hype up and i dont even know who start that urban legend but im go to hold your hand when i say this there be nice place to visit
1,Kakadu National Park,1.0,"Do not purchase a park pass before going to a visitor center! We did by a week ticket for two adults before entering, cause everywhere where signs that you should, only to figure out shortly after in one of the visitor centers that all waterfalls and gorges are closed, even though it is late june in the middle of the dry season! Also we've got told at the visitor center that it is  fine if you enter the park without a park pass, as long as you by one once you've got all the information to plan your stay and than by one directly in the visitor center!
We wouldn't have bought a week pass if we would have known that that much is closed! An information sign in front of the park entrance or an up to date website with park information would help!
If you aren't able to maintain the roads just keep the park closed. But it is definetly not right to charge the full price if there is that less to do!",do not purchase a park pass before going to a visitor center we did by a week ticket for two adults before entering cause everywhere where signs that you should only to figure out shortly after in one of the visitor centers that all waterfalls and gorges are closed even though it is late june in the middle of the dry season also weve got told at the visitor center that it is fine if you enter the park without a park pass as long as you by one once youve got all the information to plan your stay and than by one directly in the visitor center we wouldnt have bought a week pass if we would have known that that much is closed an information sign in front of the park entrance or an up to date website with park information would help if you arent able to maintain the roads just keep the park closed but it is definetly not right to charge the full price if there is that less to do,do not purchase a park pas before go to a visitor center we do by a week ticket for two adult before enter cause everywhere where sign that you should only to figure out shortly after in one of the visitor center that all waterfall and gorge be close even though it be late june in the middle of the dry season also weve get tell at the visitor center that it be fine if you enter the park without a park pas as long a you by one once youve get all the information to plan your stay and than by one directly in the visitor center we wouldnt have buy a week pas if we would have know that that much be close an information sign in front of the park entrance or an up to date website with park information would help if you arent able to maintain the road just keep the park close but it be definetly not right to charge the full price if there be that less to do
2,Kakadu National Park,1.0,Very disappointing.. over hyped.. most attractions closed.. goto Litchfield instead,very disappointing over hyped most attractions closed goto litchfield instead,very disappointing over hype most attraction close goto litchfield instead
3,Kakadu National Park,1.0,"Lots of kaka, but nothing to du.",lots of kaka but nothing to du,lot of kaka but nothing to du
4,Kakadu National Park,1.0,"Only Jim Jim Falls open way to far and dangerous to walk to the pool All other falls with pools shut Last there 4 years ago signs at Nourlangie and Ubirr unreadale middle of dry and Tourist season no guides on weekend obviously too lazy to work
Back to the Kakadon't days Serious waste of Taxpayers $",only jim jim falls open way to far and dangerous to walk to the pool all other falls with pools shut last there years ago signs at nourlangie and ubirr unreadale middle of dry and tourist season no guides on weekend obviously too lazy to work back to the kakadont days serious waste of taxpayers,only jim jim fall open way to far and dangerous to walk to the pool all other fall with pool shut last there year ago sign at nourlangie and ubirr unreadale middle of dry and tourist season no guide on weekend obviously too lazy to work back to the kakadont day serious waste of taxpayer
5,Kakadu National Park,1.0,"Disappointed with my experience considering Kakadu National Park has been on my to do list for a very long time. While I understand the value of this space for the indigenous community, there is still much that needs to be developed and adjusted if it intends to be a tourist destination setup to showcase the culture and customs of an amazing lineage. On many occasions, the programs we booked did not run or the communication regarding delays were not communicated effectively.",disappointed with my experience considering kakadu national park has been on my to do list for a very long time while i understand the value of this space for the indigenous community there is still much that needs to be developed and adjusted if it intends to be a tourist destination setup to showcase the culture and customs of an amazing lineage on many occasions the programs we booked did not run or the communication regarding delays were not communicated effectively,disappoint with my experience consider kakadu national park have be on my to do list for a very long time while i understand the value of this space for the indigenous community there be still much that need to be develop and adjust if it intend to be a tourist destination setup to showcase the culture and custom of an amazing lineage on many occasion the program we book do not run or the communication regard delay be not communicate effectively
6,Kakadu National Park,1.0,"Disappointing vs. expectations and with unprofessional staff at the Garnamarr campsite who ruined our opportunity to visite the falls.
We went in the dry season on the 28th of June 2024 and all the falls were closed. On the website it was announced that the Jim Jim Falls would open that day at 4pm alongside the campground Garnamarr unpaved road and for this reason we still decided to go. As per the website the road signs stopped having the closed stickers at 4pm and so we went to Jim Jim Falls, the first 50km of the road until the campground were open, but we were met with a rude female campsite manager when we got to the entry of the road between the campsite and Jim Jim Falls (last 5km) who said it was because ""it was the rule to open the next day"", when in reality the official rules both at the website and at the road signs were that it should be open! Because this was our last day in Darwin, we lost the opportunity because most likely the campsite manager didn't feel like opening a new road at 4pm, while clearly the rangers and other Kakadu staff declared it to be open.",disappointing vs expectations and with unprofessional staff at the garnamarr campsite who ruined our opportunity to visite the falls we went in the dry season on the th of june and all the falls were closed on the website it was announced that the jim jim falls would open that day at pm alongside the campground garnamarr unpaved road and for this reason we still decided to go as per the website the road signs stopped having the closed stickers at pm and so we went to jim jim falls the first km of the road until the campground were open but we were met with a rude female campsite manager when we got to the entry of the road between the campsite and jim jim falls last km who said it was because it was the rule to open the next day when in reality the official rules both at the website and at the road signs were that it should be open because this was our last day in darwin we lost the opportunity because most likely the campsite manager didnt feel like opening a new road at pm while clearly the rangers and other kakadu staff declared it to be open,disappoint vs expectation and with unprofessional staff at the garnamarr campsite who ruin our opportunity to visite the fall we go in the dry season on the th of june and all the fall be close on the website it be announce that the jim jim fall would open that day at pm alongside the campground garnamarr unpaved road and for this reason we still decide to go a per the website the road sign stop have the closed sticker at pm and so we go to jim jim fall the first km of the road until the campground be open but we be meet with a rude female campsite manager when we get to the entry of the road between the campsite and jim jim fall last km who say it be because it be the rule to open the next day when in reality the official rule both at the website and at the road sign be that it should be open because this be our last day in darwin we lose the opportunity because most likely the campsite manager didnt feel like open a new road at pm while clearly the ranger and other kakadu staff declare it to be open
7,Kakadu National Park,1.0,"Kakadont.
Expect you pay for an expensive park pass and all the goods spots are closed. Over-rated and commercialised .",kakadont expect you pay for an expensive park pass and all the goods spots are closed overrated and commercialised,kakadont expect you pay for an expensive park pas and all the good spot be close overrated and commercialise
8,Kakadu National Park,1.0,"We will never visit here again, info centre was filthy and a waste of time, we had vehicle issues and had to keep driving, info centre was no help, just go online apply for a refund, we did, a month later no answer, the whole place was on fire as well, can't believe you have to pay for a pass and then keep paying pure greed",we will never visit here again info centre was filthy and a waste of time we had vehicle issues and had to keep driving info centre was no help just go online apply for a refund we did a month later no answer the whole place was on fire as well cant believe you have to pay for a pass and then keep paying pure greed,we will never visit here again info centre be filthy and a waste of time we have vehicle issue and have to keep drive info centre be no help just go online apply for a refund we do a month later no answer the whole place be on fire a well cant believe you have to pay for a pas and then keep pay pure greed
9,Kakadu National Park,1.0,Unfortunately most things were closed. Next time. Hopefully,unfortunately most things were closed next time hopefully,unfortunately most thing be close next time hopefully
